url,name,rating,location,address,cuisines,cost_for_two,hours,facilities,phone_number_1,phone_number_2,phone_number_3,hours_int,hours_categorical,amount_cuisines,amount_facilities
https://www.zomato.com/jakarta/sentosa-seafood-muara-karang/info,Sentosa Seafood,4.0,Muara Karang,"Jl. Pluit Karang Cantik, Blok Y3 No. 6, Muara Karang, Jakarta",Seafood,300000,7h – 23h (Today),"Breakfast,Takeaway Available,Indoor Seating,Table booking recommended",+62216685932,,,7,Morning,1,4
https://www.zomato.com/jakarta/langit-seduh-takes-mansion-hotel-tanah-abang/info,Langit Seduh - Takes Mansion & Hotel,3.6,Tanah Abang,"Takes Mansion &amp; Hotel, Lantai 11, Jl. Taman Kebon Sirih 1 No. 3-4, Tanah Abang, Jakarta","Coffee,Indonesian,Snacks",150000,17h – 24h (Today),"Takeaway Available,Smoking Area,Live Entertainment,Live Music,Rooftop,Wifi,Outdoor Seating",+6282281305954,,,17,Afternoon,3,7
https://www.zomato.com/jakarta/edogin-hotel-mulia-senayan/info,Edogin - Hotel Mulia,4.8,Senayan,"Hotel Mulia, Jl. Asia Afrika, Senayan, Jakarta",Japanese,800000,"12h – 14h 30m, 18h – 22h 30m (Today)","Beer,Wifi,Table booking recommended,Indoor Seating,Luxury Dining,Buffet,Private Dining Area Available",62215753299,62215747777,,12,Afternoon,1,7
https://www.zomato.com/jakarta/rm-kalimantan-anton-pondok-gede/info,RM Kalimantan Anton,3.9,Pondok Gede,"Jl. Caman Raya No. 26, Pondok Gede, Bekasi",Kalimantan,70000,Opens tomorrow at 8h 30m,"Breakfast,Takeaway Available,Indoor Seating",+622184974637,,,8,Morning,1,3
https://www.zomato.com/jakarta/aksata-coffee-roastery-scbd/info,Aksata Coffee & Roastery,,SCBD,"Jl. Tulodong Bawah I No. 16, SCBD, Jakarta 12190","Coffee,Beverages",50000,Opens tomorrow at 7h,"Takeaway Available,Indoor Seating",+6281295952180,,,7,Morning,2,2
https://www.zomato.com/jakarta/thirsty-hungry-kemang/info,Thirsty & Hungry,3.9,Kemang,"Jl. Kemang Raya No. 8B, Kemang, Jakarta","Burger,Western",200000,Opens tomorrow at 10h,"Takeaway Available,Outdoor Seating,Indoor Seating",+6288975531997,,,10,Morning,2,3
https://www.zomato.com/jakarta/bobatime-indonesia-kemanggisan/info,BobaTime Indonesia,,Kemanggisan,"Jl. Kyai H. Syahdan No. 78, Kemanggisan, Jakarta","Bubble Tea,Beverages",60000,Opens tomorrow at 10h,"Takeaway Available,Indoor Seating",+6281289819658,,,10,Morning,2,2
https://www.zomato.com/jakarta/gourmet-cafe-by-bee-cheng-hiang-tanjung-duren/info,Gourmet Cafe By Bee Cheng Hiang,,Tanjung Duren,"Central Park, Lantai Lower Ground, Jl. Letjen S. Parman, Tanjung Duren, Jakarta",Chinese,150000,Opens tomorrow at 10h,"Takeaway Available,Indoor Seating,Table booking recommended",+622156985058,,,10,Morning,1,3
https://www.zomato.com/jakarta/fat-bobba-kelapa-gading/info,Fat Bobba,,Kelapa Gading,"Jl. Boulevard Raya Blok WB 2 No. 5, Kelapa Gading, Jakarta","Beverages,Bubble Tea",70000,Opens tomorrow at 10h,"Home Delivery,Takeaway Available,Indoor Seating,Wifi",+6286635936,,,10,Morning,2,4
https://www.zomato.com/jakarta/lga-kokojo-kemang/info,lga KOKOJO,3.8,Kemang,"Jl. Kemang Selatan VIII No. 51D, Kemang, Jakarta",Indonesian,160000,Opens tomorrow at 11h,"Takeaway Available,Indoor Seating",+6282219571919,,,11,Morning,1,2
