Type,Title,Price,Location,Land Area,Bedroom,Bathroom,Car Space,Floor Level,Floor Area,Facing,Agency,Status,Status1,Status2,Status3
Land," 864 Sqm Residential Land For Sale - Sra Ngae, Siem Reap","$181,440"," Siem Reap, Siem Reap, Siem Reap",864m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 702 Sqm Residential Land For Sale - Slor Kram, Siem Reap","$315,900"," Sla Kram, Siem Reap, Siem Reap",702m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"2 Bedroom House For Sale - Svay Thom, Siem Reap","$45,000"," Siem Reap, Siem Reap, Siem Reap",NaN,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 5565 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$779,100"," Svay Dankum, Siem Reap, Siem Reap",5565m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1750 Sqm Residential Land For Sale - Poi Pet, Banteay Meanchey","$297,500"," Poipet, Poipet, Banteay Meanchey",1750m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"6,558 sq.m. Land For Sale - Sambour, Siem Reap","$249,204"," Sangkat Sambuor, Siem Reap, Siem Reap",6558m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 12716 Sqm Residential Land For Sale - Krabi Riel, Siem Reap","$953,700"," Siem Reap, Siem Reap, Siem Reap",12716m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"6,284 Sqm Land For Sale - Ondong Khmer - Kampot- Cambodia ","$470,000"," Andoung Khmer, Kampot, Kampot",6284m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Condo,Urban Village Condo for Sale,"$108,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",55m²,2,2,NaN,NaN,NaN,NaN,GC Realty,For sale
Condo,Urban Loft Condo for Sale Underpriced,"$100,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",60m²,2,2,1,NaN,NaN,NaN,GC Realty,For sale,Price Reduced
Condo,Condo for Sale,"$58,000"," Wat Phnom, Daun Penh, Phnom Penh",39m²,NaN,1,NaN,NaN,NaN,NaN,GC Realty,For sale
Condo,Twin Villa Sale Urgent,"$285,000"," Nirouth, Chbar Ampov, Phnom Penh",169m²,4,5,NaN,2,144m²,NaN,GC Realty,For sale
Land,📢Land and house for sale,"$10,000,000"," BKK 1, Chamkarmon, Phnom Penh",1140m²,NaN,NaN,NaN,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
Villa,Queen Villa A for Sale Underpriced,"$975,000"," Russey Keo, Russey Keo, Phnom Penh",396m²,5,6,2,3,NaN,S,GC Realty,For sale,Urgent Sale
Land,Land and house for sale on the main road,"$3,800,000"," BKK 1, Chamkarmon, Phnom Penh",409m²,NaN,NaN,NaN,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
Land,Land and house for sale on the main road,"$9,672,000"," BKK 1, Chamkarmon, Phnom Penh",792m²,NaN,NaN,NaN,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
Land," 310 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$75,000"," Svay Dankum, Siem Reap, Siem Reap",310m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"78 Sqm Residential Land For Sale - Slor Kram, Siem Reap","$50,000"," Sla Kram, Siem Reap, Siem Reap",78m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"3515 Sqm Land For Sale - Chreav, Siem Reap","$632,700"," Chreav, Siem Reap, Siem Reap",3515m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1073 Sqm Residential Land For Sale - Sangkat Siem Reap, Siem Reap","$85,840"," Siem Reap, Siem Reap, Siem Reap",1073m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"4198 Sqm Land For Sale - Trapeang Thum, Bakong District, Siem Reap","$117,544"," Trapeang Thum, Prasat Bakong, Siem Reap",4198m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"270 Sqm Land For Sale - Sala Kamreuk, Siem Reap","$72,000"," Sala Kamraeuk, Siem Reap, Siem Reap",270m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"701 Sqm Land For Sale - Chreav, Siem Reap","$91,130"," Chreav, Siem Reap, Siem Reap",701m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"3000 Sqm Land For Sale - Svay Dangkum, Siem Reap","$690,000"," Svay Dankum, Siem Reap, Siem Reap",3000m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1613 Sqm Land For Sale - Sambour, Siem Reap","$105,000"," Siem Reap, Siem Reap, Siem Reap",1613m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"210 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$38,000"," Svay Dankum, Siem Reap, Siem Reap",210m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Flat,Flat House for Sale,"$59,000"," Krang Thnong, Sen Sok, Phnom Penh",66m²,2,3,1,1,NaN,N,GC Realty,For sale,Urgent Sale
Land,"371 Sqm Land For Sale - Sala Kamreuk, Siem Reap","$115,000"," Sangkat Sambuor, Siem Reap, Siem Reap",371m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"840 sq.m. Land For Sale - Svay Dangkum, Siem Reap","$294,000"," Siem Reap, Siem Reap, Siem Reap",840m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"69,670 sqm Land For Sale - Kandal Province","$3,483,500"," Ampov Prey, Kandal Stueng, Kandal",69670m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"760 sq.m. Land For Sale - Chreav, Siem Reap","$159,600"," Chreav, Siem Reap, Siem Reap",760m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"4286 Sqm Land For Sale - Kandaek, Prasat Bakong, Siem Reap","$128,280"," Siem Reap, Siem Reap, Siem Reap",4276m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"19 Hectares Land For Sale - Banteay Srei, Siem Reap","$2,850,000"," Siem Reap, Siem Reap, Siem Reap",190000m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"664 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$232,400"," Svay Dankum, Siem Reap, Siem Reap",664m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"2505 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$626,250"," Svay Dankum, Siem Reap, Siem Reap",2505m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," Land For Sale - Chong Khneas, Siem Reap","$997,500"," Siem Reap, Siem Reap, Siem Reap",28500m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 4618sqm Land For Sale - Chreav, Siem Reap","$200,883"," Siem Reap, Siem Reap, Siem Reap",4618m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1195 sq.m. Land For Sale - Bakong District, Siem Reap","$59,750"," Bakong, Prasat Bakong, Siem Reap",1195m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"100 Sqm Residential Land For Sale - Svay Thom, Siem Reap","$24,000"," Siem Reap, Siem Reap, Siem Reap",100m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"455 Sqm Land For Sale - Svay Dangkum, Siem Reap","$113,750"," Svay Dankum, Siem Reap, Siem Reap",455m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"233 Sqm Land For Sale - Sala Kamreuk, Siem Reap","$69,900"," Siem Reap, Siem Reap, Siem Reap",233m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"500 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$175,000"," Svay Dankum, Siem Reap, Siem Reap",500m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1,259 sq.m Land For Sale - Chreav, Siem Reap","$251,800"," Chreav, Siem Reap, Siem Reap",1259m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"73425 Sqm Land For Sale - Puok, Siem Reap","$734,260"," Siem Reap, Siem Reap, Siem Reap",73425m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"49 sq.m. Land For Sale - Slor Kram, Siem Reap","$72,000"," Sla Kram, Siem Reap, Siem Reap",49m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"118 Sqm Residential Land For Sale - Bakong District, Siem Reap","$13,000"," Kandaek, Prasat Bakong, Siem Reap",118m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"394 Sqm Residential Land For Sale - Kandaek, Prasat Bakong, Siem Reap","$95,000"," Kandaek, Prasat Bakong, Siem Reap",394m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"3120 Sqm Land For Sale - Puok, Siem Reap","$78,007"," Siem Reap, Siem Reap, Siem Reap",3120m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 220 Sqm Land For Sale - Svay Thom, Siem Reap","$22,000"," Siem Reap, Siem Reap, Siem Reap",220m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1200​ Sqm Land For Sale - Svay Dangkum, Siem Reap","$186,000"," Kouk Chak, Siem Reap, Siem Reap",1200m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1945 Sqm Residential Land For Sale - Chreav, Siem Reap","$155,600"," Chreav, Siem Reap, Siem Reap",1945m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"298 sqm Land For Sale in Svay Dangkum, Siem Reap","$68,540"," Svay Dankum, Siem Reap, Siem Reap",298m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"480 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$86,400"," Svay Dankum, Siem Reap, Siem Reap",480m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"12300 Sqm Land For Sale - Bakong, Siem Reap","$120,000"," Siem Reap, Siem Reap, Siem Reap",12300m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 250 Sqm Land For Sale - Svay Dangkum, Siem Reap","$45,000"," Svay Dankum, Siem Reap, Siem Reap",250m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"565 Sqm Residential Land For Sale - Sambour, Siem Reap","$197,750"," Sangkat Sambuor, Siem Reap, Siem Reap",565m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"2,001 sq.m. Land For Sale - Svay Dangkum, Siem Reap","$460,000"," Svay Dankum, Siem Reap, Siem Reap",2001m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,Land for Sale,"$450,000"," Kouk Khleang, Sen Sok, Phnom Penh",510m²,NaN,NaN,NaN,NaN,NaN,NaN,GC Realty,For sale
Land,"1976 Sqm Land For Sale - Svay Dangkum, Siem Reap","$1,185,600"," Svay Dankum, Siem Reap, Siem Reap",1976m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"3120 Sqm Commercial Land For Sale - Svay Dangkum, Siem Reap","$811,200"," Svay Dankum, Siem Reap, Siem Reap",3120m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 1722 Sqm Land For Sale - Slor Kram, Siem Reap","$602,700"," Siem Reap, Siem Reap, Siem Reap",1722m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"9772 Sqm Land For Sale - Svay Dangkum, Siem Reap","$879,480"," Siem Reap, Siem Reap, Siem Reap",9772m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Villa,Queen Villa for Sale Underpriced,"$635,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",400m²,4,5,4,2,416m²,NaN,GC Realty,For sale,Price Reduced
Land,"409 Sqm Land For Sale - Sala Kamreuk, Siem Reap","$184,050"," Siem Reap, Siem Reap, Siem Reap",409m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"6000 Sqm Land For Sale - Kandaek, Siem Reap","$408,000"," Siem Reap, Siem Reap, Siem Reap",6000m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1423 Sqm Land For Sale - Sra Ngae, Siem Reap","$184,990"," Siem Reap, Siem Reap, Siem Reap",1423m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Flat,Flat House Sale Urgent,"$199,900"," Phsar Daeum Kor, Toul Kork, Phnom Penh",72m²,3,3,1,2,105m²,NaN,GC Realty,For sale,Urgent Sale
Land,"976 sq.m. Land for Sale - Svay Dangkum, Siem Reap","$829,600"," Svay Dankum, Siem Reap, Siem Reap",976m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1839 Sqm Land For Sale - Svay Dangkum, Siem Reap","$404,580"," Svay Dankum, Siem Reap, Siem Reap",1839m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"391 Sqm Residential Land For Sale - Krabi Riel, Siem Reap","$54,000"," Krabei Riel, Siem Reap, Siem Reap",391m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"395 Sqm Residential Land For Sale - Krabi Riel, Siem Reap","$13,825"," Siem Reap, Siem Reap, Siem Reap",395m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 378 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$285,300"," Svay Dankum, Siem Reap, Siem Reap",378m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"17153 Sqm Land For Sale - Khun Ream, Banteay Srei, Siem Reap","$73,758"," Siem Reap, Siem Reap, Siem Reap",17153m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 560 Sqm Land For Sale - Slor Kram, Siem Reap","$112,000"," Siem Reap, Siem Reap, Siem Reap",560m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"676 Sqm Residential Land For Sale - Chreav, Siem Reap","$114,920"," Chreav, Siem Reap, Siem Reap",676m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"160 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$105,000"," Siem Reap, Siem Reap, Siem Reap",160m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"630 Sqm Residential Land For Sale - Road 60, Siem Reap","$97,650"," Siem Reap, Siem Reap, Siem Reap",630m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 6000 Sqm Land For Sale - Svay Dangkum, Siem Reap","$2,100,000"," Svay Dankum, Siem Reap, Siem Reap",6000m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1 Hectare Land For Sale - Svay Dangkum, Siem Reap","$1,087,236"," Siem Reap, Siem Reap, Siem Reap",10067m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1905 Sqm Land For Sale - Sala Kamreuk, Siem Reap","$762,000"," Siem Reap, Siem Reap, Siem Reap",1905m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Condo,2 bedrooms condo for sale & rent in Toul Kork area,"$75,000","Boeung Kak 2, Toul Kork, Phnom Penh",NaN,1,2,NaN,8,57m²,NaN,Global Property Services,For sale or rent
Condo,1 Bedroom condominium for sale in Toul Songkae area,"$81,500","Tuol Sangkae 1, Russey Keo, Phnom Penh",NaN,1,1,1,13,63m²,NaN,Global Property Services,For sale or rent
Land,Land for Sale at Siem Reap,$70/m²,"Trapeang Thum, Prasat Bakong, Siem Reap",NaN,NaN,NaN,NaN,NaN,NaN,NaN,MLS Property Cambodia
Condo,Unit Condominium 1 bedroom for sale in,"$75,000","Tuol Sangkae 1, Russey Keo, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,Global Property Services,For sale or rent
Land,"3845 Sqm Land For Sale - Chreav, Siem Reap","$384,500"," Siem Reap, Siem Reap, Siem Reap",3845m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"115 Sqm Residential Land For Sale - Sra Ngae, Siem Reap","$47,000"," Srangae, Siem Reap, Siem Reap",115m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," Hard Titled Residential Land For Sale - Svay Dangkum, Siem Reap","$110,000"," Svay Dankum, Siem Reap, Siem Reap",550m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1,536 Sqm Residential Land For Sale - Chreav, Siem Reap","$145,920"," Chreav, Siem Reap, Siem Reap",1536m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"350 Sqm Residential Land For Sale - Sangkat Siem Reap, Siem Reap","$45,000"," Siem Reap, Siem Reap, Siem Reap",350m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"665 Sqm Land For Sale - Krabi Riel, Siem Reap","$29,500"," Siem Reap, Siem Reap, Siem Reap",665m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Villa,DAKA KUN REALTY: ផ្ទះវីឡាទំនើប ស្ថិតនៅកណ្ដាលក្រុងសៀមរាប លក់បន្ទាន់ / Modern Villa for Sale in Siem Reap,"$1,000,000"," Sala Kamraeuk, Siem Reap, Siem Reap",1049m²,5,6,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Land,"1,050 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$178,500"," Svay Dankum, Siem Reap, Siem Reap",1050m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"146 Sqm Residential Land For Sale - Slor Kram, Siem Reap","$90,000"," Sala Kamraeuk, Siem Reap, Siem Reap",146m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"240 Sqm Residential Land For Sale - Chreav, Siem Reap","$75,000"," Siem Reap, Siem Reap, Siem Reap",240m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1,004 Sqm Land For Sale - Kandaek, Bakong District, Siem Reap","$150,600"," Kandaek, Prasat Bakong, Siem Reap",1004m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
House,"DAKA KUN REALTY: ផ្ទះលក់នៅក្នុងសង្កាត់សាលាកំរើក, ក្រុងសៀមរាប/House for Sale in Siem Reap - Sala Kamreuk","$290,000"," Sala Kamraeuk, Siem Reap, Siem Reap",NaN,5,8,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Land,"10 Hectare Land For Sale - Run Ta Ek, Siem Reap","$1,995,171"," Siem Reap, Siem Reap, Siem Reap",105009m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
House,"DAKA KUN REALTY: ផ្ទះលក់នៅជិតមាត់ស្ទឹង, ក្រុងសៀមរាប/House for Sale in Siem Reap-Riverside","$150,000"," Siem Reap, Siem Reap, Siem Reap",NaN,3,1,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Land,"863 Sqm Residential Land For Sale - Sambour, Siem Reap","$258,900"," Sangkat Sambuor, Siem Reap, Siem Reap",863m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Apartment,Two Bedrooms Rent $700 Sell $149000 Veal Vong,"$149,000","Veal Vong, 7 Makara, Phnom Penh",NaN,2,2,NaN,37,75m²,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Villa,#Quin Villa for sale and rent,"$880,000","Kangork ERM-063 Pka, Chroy Changvar, Chroy Changvar, Phnom Penh",420m²,5,6,1,3,NaN,N,GC Realty,For sale or rent
Land,"2 Hectare Land For Sale - Angkor Thom, Siem Reap","$300,000"," Siem Reap, Siem Reap, Siem Reap",20000m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"120 sq.m. Land For Sale - Sangkat Siem Reap, Siem Reap","$15,000"," Siem Reap, Siem Reap, Siem Reap",120m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"5344 Sqm Residential Land For Sale - Sambour, Siem Reap","$293,920"," Sangkat Sambuor, Siem Reap, Siem Reap",5344m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1,780 Sqm Residential Land For Sale - Sambour, Siem Reap","$195,800"," Sangkat Sambuor, Siem Reap, Siem Reap",1780m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,588 Sqm Residential Land For Sale - Sangkart Siem Reap,"$79,380"," Siem Reap, Siem Reap, Siem Reap",588m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"250 Sqm Residential Land For Sale - Sala Kamreuk, Siem Reap","$95,000"," Sala Kamraeuk, Siem Reap, Siem Reap",250m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
House,"DAKA KUN REALTY: ផ្ទះលក់នៅជិតផ្លូវបាខែង, ក្រុងសៀមរាប/House for Sale in Siem Reap-Svay Dangkum","$110,000"," Svay Dankum, Siem Reap, Siem Reap",NaN,3,3,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Villa,LC LC2 hybrid villa for sale (left side),"$125,000"," Chrang Chamres I, Russey Keo, Phnom Penh",102m²,3,4,1,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
Shophouse,Business house,"$270,000","orkide avenue 1, Chroy Changvar, Chroy Changvar, Phnom Penh",99m²,4,5,1,4,NaN,S,GC Realty,For sale
Villa,LC LC2 hybrid villa for sale,"$140,000"," Chrang Chamres I, Russey Keo, Phnom Penh",70m²,3,4,1,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
Apartment,"Newly Renovated 4 Bedrooms Condo Available For sale in Boeung Kak2 area, Phnom Penh.","$450,000"," Boeung Kak 2, Toul Kork, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,Global Property Services,For sale
Land,"735 Sqm Land For Sale - Chaom Chau , Phnom Penh","$400,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",735m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
House,"DAKA KUN REALTY: ផ្ទះលក់នៅជិតវីសតភូមិបៃតង, ក្រុងសៀមរាប/House for Sale in Siem Reap-Svay Dangkum","$165,000"," Svay Dankum, Siem Reap, Siem Reap",NaN,4,4,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Land,"265 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$55,000"," Siem Reap, Siem Reap, Siem Reap",265m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"90 Sqm Land For Sale - Sala Kamreuk, Siem Reap","$220,000"," Siem Reap, Siem Reap, Siem Reap",90m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Villa,Villa for Rent with good location in Phnom Penh-Tonle Bassac-BKK1,"$4,000,000"," BKK 1, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Land,"234 sq.m. Land For Sale - Sambour, Siem Reap","$12,000"," Siem Reap, Siem Reap, Siem Reap",234m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"95 Sqm Residential Land For Sale - Sala Kamreuk, Siem Reap","$125,000"," Siem Reap, Siem Reap, Siem Reap",95m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"3,916 sqm. Vacant Land For Sale - Slor Kram, Siem Reap $ 1,566,400","$1,566,400"," Siem Reap, Siem Reap, Siem Reap",3916m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
House,Corner house for sale and rent with very good location in Phnom Penh- Bkk1 ,"$11,000,000"," BKK 1, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,"one Bedroom Condo for Rent with Gym ,Swimming Pool in Phnom Penh","$81,000"," Chak Angrae Leu, Meanchey, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Land,"444 Sqm Residential Land For Sale - Sangkat Siem Reap, Siem Reap","$133,200"," Siem Reap, Siem Reap, Siem Reap",444m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"3,500 Sqm Land For Sale - Preaek Pra, Phnom Penh","$2,800,000"," BKK 1, Chamkarmon, Phnom Penh",3500m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Apartment,Two Rent $650 Sell $87000 Beong Tumpun,"$87,000","Boeung Tumpun, Meanchey, Phnom Penh",NaN,2,2,NaN,22,76m²,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Studio,Studio Rent $350 sell $42000 Chamkarmon ToulTumpoung,"$42,000","Toul Tum Poung 2, Chamkarmon, Phnom Penh",NaN,1,1,NaN,5,38m²,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Land,"12,000 Sqm Land For Sale - Phum Kaoh Norea, Phnom Penh","$16,800,000"," Kbal Kaoh, Chbar Ampov, Phnom Penh",12000m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"House and Land For Sale - Beoung Tumpun, Phnom Penh","$1,900,000"," Boeung Tumpun, Meanchey, Phnom Penh",NaN,NaN,NaN,NaN,1000,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"8,042 Sqm Land For Sale - Kakap, Phnom Penh","$6,433,600"," Kakap, Por Sen Chey, Phnom Penh",8042m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"598 Sqm Land For Sale - Sen Sok, Phnom Penh","$1,076,400"," Phnom Penh Thmey, Sen Sok, Phnom Penh",598m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"2,488 sq.m. Land For Sale - Dangkao, Phnom Penh","$373,200"," Dangkao, Dangkao, Phnom Penh",2488m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Condo,De castle diamond TOUL KORK,"$130,000","Tuek L'ak 2, Toul Kork, Phnom Penh",NaN,2,2,NaN,NaN,NaN,NaN,MLS Property Cambodia,For sale
