Type,Title,Price,Location,Land Area,Bedroom,Bathroom,Car Space,Floor Level,Floor Area,Facing,Agency,Status,Status1,Status2,Status3
Land,Suitable house and land in Takhmao city,"$149,999","Ta Khmau, Kandal",408m²,3,1,2,NaN,408m²,NaN,NaN,For sale
Project,Borey Nadi by GC City,"$143,900","  , Preaek Lieb, Chroy Changvar, Phnom Penh",NaN,4 to 5,NaN,NaN,NaN,180 to 195m²,NaN,GC City Cambodia,For sale
Land,Chbar Ampov | Urgent Land for Sale,"$2,990,000","National Road 1 National Road 1, Veal Sbov, Chbar Ampov, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,For sale
Condo,Silvertown Metropolitan: 2 Bedrooms Unit,"$382,421",Silvertown Metropolitan,NaN,2,2,NaN,5,158m²,NaN,"Naki Group Co., Ltd.",For sale
Studio,Silvertown Metropolitan - Studio,"$218,449",Silvertown Metropolitan,NaN,1,1,NaN,3,92m²,NaN,"Naki Group Co., Ltd.",For sale
Borey,The Eco Residence,"$107,000"," Krang Thnong, Sen Sok, Phnom Penh",NaN,NaN,NaN,NaN,NaN,60 to 70m²,NaN,The Eco Residence,For sale
Borey,Orkidē Villa | The Botanic City,"$225,888"," Chroy Changvar, Chroy Changvar, Phnom Penh",NaN,3 to 5,NaN,NaN,NaN,45 to 156m²,NaN,"Orkidē Villa Co., Ltd",For sale
Villa,"4 Bedrooma Villa For Sale - Toul Kork, Phnom Penh ","$1,600,000"," Boeung Kak 1, Toul Kork, Phnom Penh",144m²,4,5,NaN,NaN,514m²,NaN,IPS Cambodia,For sale
Villa,"8 Bedroom Commercial Villa For Sale - Chaom Chau, Phnom Penh ","$1,600,000"," Chaom Chau, Por Sen Chey, Phnom Penh",1073m²,8,5,NaN,NaN,1073m²,NaN,IPS Cambodia,For sale
Villa,"5 Bedroom Villa for Sale - Grand Phnom Penh, Phnom Penh","$1,500,000"," Khmuonh, Sen Sok, Phnom Penh",450m²,5,7,NaN,NaN,640m²,NaN,IPS Cambodia,For sale
Link House,"4 Bedroom Linked House For Sale - Preaek Kampues, Phnom Penh","$115,000"," Preaek Kampues, Dangkao, Phnom Penh",NaN,4,5,NaN,3,85m²,NaN,IPS Cambodia,For sale
Twin Villa,"4 Bedroom Twin Villa For Sale - Borey Vimean Phnom Penh, Russey Keo, Phnom Penh","$330,000"," Russey Keo, Russey Keo, Phnom Penh",235m²,4,5,NaN,2,164m²,NaN,IPS Cambodia,For sale
Villa,"6 Bedroom Queen Villa For Sale - Teuk Thla, Phnom Penh","$850,000"," Tuek Thla, Sen Sok, Phnom Penh",150m²,6,9,NaN,NaN,330m²,NaN,IPS Cambodia,For sale
Land,"3. 52 Hectare Land For Sale - Kien Svay, Kandal ","$5,283,150"," Banteay Daek, Kien Svay, Kandal",35221m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1307 Sqm Land For Sale - Svay Prey, Siem Reap","$99,000"," Siem Reap, Siem Reap, Siem Reap",1320m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"28 Hectare Land For Sale - Banteay Srei, Siem Reap","$4,160,985"," Siem Reap, Siem Reap, Siem Reap",277399m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,18 Ha Agriculture Land For Sale - Kompong Speu,"$1,440,000"," Mean Chey, Odongk, Kampong Speu",180000m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"435 Sqm Land For Sale - Sala Kamreuk, Siem Reap","$217,500"," Sala Kamraeuk, Siem Reap, Siem Reap",435m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 2298 Sqm Residential Land For Sale - Sambour, Siem Reap","$620,460"," Sangkat Sambuor, Siem Reap, Siem Reap",2298m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"120 Sqm Land For Sale - Chreav, Siem Reap","$13,500"," Chreav, Siem Reap, Siem Reap",120m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,ដីសម្រាប់លក់​​ | Land for Sale in Phsar Derm Thkov,"$1,456,000"," Phsar Daeum Thkov, Chamkarmon, Phnom Penh",728m²,NaN,NaN,NaN,NaN,NaN,NaN,GC Realty,For sale,Price Negotiable
Land,"190 Sqm Land For Sale - Slor Kram, Siem Reap","$55,000"," Siem Reap, Siem Reap, Siem Reap",190m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"2,993sqm Land and House For Sale - Svay Dangkum, Siem Reap","$284,335"," Svay Dankum, Siem Reap, Siem Reap",2993m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1423 Sqm Land For Sale - Sra Ngae, Siem Reap","$184,990"," Siem Reap, Siem Reap, Siem Reap",1423m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"878 Sqm Land For Sale - Kandek, Siem Reap","$219,500"," Kandaek, Prasat Bakong, Siem Reap",878m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"240 sq.m. Residential Land For Sale - Svay Dangkum, Siem Reap","$42,000"," Svay Dankum, Siem Reap, Siem Reap",240m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"140 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$12,000"," Svay Dankum, Siem Reap, Siem Reap",140m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"200 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$38,000"," Svay Dankum, Siem Reap, Siem Reap",200m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1906 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$1,429,500"," Svay Dankum, Siem Reap, Siem Reap",NaN,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"11560 Sqm Land For Sale - Svay Dangkum, Siem Reap","$2,080,800"," Svay Dankum, Siem Reap, Siem Reap",11560m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"244 Sqm Residential Land For Sale - Sambour, Siem Reap","$18,500"," Siem Reap, Siem Reap, Siem Reap",244m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"1,000 sqm Land For Sale Svay Dangkum Siem Reap","$350,000"," Svay Dankum, Siem Reap, Siem Reap",NaN,NaN,NaN,NaN,1000,NaN,NaN,IPS Cambodia,For sale
Land,"2375 Sqm Land For Sale - Sambour, Siem Reap","$142,500"," Siem Reap, Siem Reap, Siem Reap",2375m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"3200 Sqm Residential Land For Sale - Slor Kram, Siem Reap","$1,200,000"," Sla Kram, Siem Reap, Siem Reap",3200m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"200 Sqm Land For Sale - Chreav, Siem Reap","$18,000"," Chreav, Siem Reap, Siem Reap",200m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"3 Hectare Land For Sale - Prey Sar Road, Dangkao, Phnom Penh","$11,400,000"," Prey Veaeng, Dangkao, Phnom Penh",31566m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"620 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$130,000"," Svay Dankum, Siem Reap, Siem Reap",620m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"1060 Sqm Land For Sale - Svay Dangkum, Siem Reap","$1,500/m²"," Svay Dankum, Siem Reap, Siem Reap",1060m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,Price Negotiable
Land,"3,199 sq.m. Land For Sale - Svay Dangkum, Siem Reap","$575,820"," Siem Reap, Siem Reap, Siem Reap",3199m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"200 Sqm Residential Land For Sale - Kandaek, Siem Reap","$26,000"," Siem Reap, Siem Reap, Siem Reap",200m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 1935 Sqm Residential Land For Sale - Svay Thom, Siem Reap","$200,000"," Siem Reap, Siem Reap, Siem Reap",1935m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"308 Sqm Land For Sale - Kandaek, Siem Reap","$21,560"," Kandaek, Prasat Bakong, Siem Reap",308m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"1050 Sqm Residential Land For Sale - Sangkat Siem Reap, Siem Reap","$116,270"," Siem Reap, Siem Reap, Siem Reap",1050m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"174 Sqm Land For Sale - Sra Ngae, Siem Reap","$32,000"," Srangae, Siem Reap, Siem Reap",174m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"528 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$211,200"," Svay Dankum, Siem Reap, Siem Reap",528m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"200 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$40,000"," Svay Dankum, Siem Reap, Siem Reap",200m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land," 3236 Sqm Residential Land For Sale - G-Kreng, Siem Reap","$116,496"," Siem Reap, Siem Reap, Siem Reap",3236m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"480 Sqm Land For Sale - Sala Kamreuk, Siem Reap","$240,000"," Sala Kamraeuk, Siem Reap, Siem Reap",480m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"429 Sqm Residential Land For Sale - Sangkat Siem Reap, Siem Reap","$85,000"," Siem Reap, Siem Reap, Siem Reap",429m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land," 125 Sqm Land For Sale - Krabei Riel, Siem Reap","$4,500"," Siem Reap, Siem Reap, Siem Reap",125m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"3000 Sqm Land For Sale - Kandaek, Siem Reap","$204,000"," Siem Reap, Siem Reap, Siem Reap",3000m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"325sqm Land For Sale - Chreav, Siem Reap","$55,000"," Chreav, Siem Reap, Siem Reap",325m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land," 187 Sqm Land For Sale - Chreav, Siem Reap","$29,000"," Chreav, Siem Reap, Siem Reap",187m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"2050 Sqm Land For Sale - Chreav, Siem Reap","$656,000"," Chreav, Siem Reap, Siem Reap",2050m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"57,441 Sqm Land For Sale - Sra Ngae, Siem Reap","$804,174"," Srangae, Siem Reap, Siem Reap",57441m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"6362 Sqm Residential Land For Sale - Svay Thom, Siem Reap","$445,340"," Siem Reap, Siem Reap, Siem Reap",6362m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"708 Sqm Residential Land For Sale - Chreav, Siem Reap","$254,880"," Chreav, Siem Reap, Siem Reap",708m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"3520 Sqm Land For Sale - Chres, Siem Reap","$126,720"," Siem Reap, Siem Reap, Siem Reap",3520m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
